LATITUDE,LONGITUDE,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,AQUIFER_TYPE,WLS_WTR_LEVEL,Broader_Classification_Soil,Broad_Soil_Type,SITE_TYPE,WLS_WTR_LEVEL_Categorized,Total Annual Ground Water Recharge,Broader_Classification_Lithology
11.67167,92.74667,2021.0,7.77,378.0,0.0,220.0,25.0,1.0,0.0,195.0,42.0,22.0,11.0,2.0,0.38,Unconfined,10.6,Clayey,Clayey,Dug Well,Artesian,186765.62,Mixed
11.70833,92.65,2021.0,7.45,412.0,0.0,195.0,35.0,3.0,2.0,140.0,28.0,17.0,24.0,1.0,0.68,Confined,11.32,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Artesian,35828.29,Mixed
11.69028,92.68028,2021.0,7.52,273.0,0.0,146.0,25.0,2.0,1.0,120.0,28.0,12.0,12.0,1.0,0.52,Unconfined,2.3,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,35828.29,Mixed
12.36444,92.92333,2021.0,7.14,533.0,0.0,305.0,25.0,5.0,2.0,255.0,74.0,17.0,7.0,1.0,0.74,Unconfined,13.37,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Artesian,186765.62,Mixed
12.36639,92.92333,2021.0,7.34,878.0,0.0,494.0,32.0,2.0,0.0,280.0,40.0,44.0,55.0,11.0,0.68,Confined,11.65,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Artesian,76305.69,Mixed
11.99167,92.95333,2021.0,7.77,878.0,0.0,458.0,53.0,8.0,1.0,245.0,48.0,30.0,75.0,8.0,0.22,Unconfined,6.25,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Shallow,35828.29,Mixed
12.65083,92.89111,2021.0,7.6,260.0,0.0,146.0,18.0,8.0,0.0,135.0,18.0,22.0,9.0,1.0,0.15,Unconfined,3.8,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,76305.69,Mixed
11.66778,92.73778,2021.0,7.79,858.0,0.0,458.0,50.0,6.0,0.0,110.0,16.0,17.0,154.0,4.0,0.23,Unconfined,0.58,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,76305.69,Mixed
11.83,93.03806,2021.0,7.25,557.0,0.0,329.0,35.0,3.0,1.0,245.0,44.0,33.0,21.0,1.0,0.31,Semi-Confined,46.0,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Artesian,76305.69,Mixed
11.83611,93.04444,2021.0,7.46,746.0,0.0,409.0,43.0,11.0,1.0,300.0,64.0,34.0,40.0,3.0,0.25,Unconfined,0.4,Loamy,Loamy,Dug Well,Shallow,186765.62,Mixed
11.82,93.05972,2021.0,7.71,1020.0,0.0,488.0,74.0,4.0,1.0,330.0,54.0,47.0,50.0,13.0,0.72,Unconfined,1.19,Loamy,Loamy,Dug Well,Shallow,186765.62,Mixed
11.83194,93.01694,2021.0,7.59,953.0,0.0,415.0,78.0,24.0,2.0,295.0,44.0,45.0,60.0,5.0,0.26,Semi-Confined,6.81,Loamy,Loamy,Bore Well,Shallow,186765.62,Mixed
11.675,92.76167,2021.0,7.53,466.0,0.0,183.0,53.0,19.0,0.0,210.0,48.0,22.0,12.0,2.0,0.37,Unconfined,8.02,Loamy,Loamy,Dug Well,Shallow,35828.29,Mixed
11.61556,92.66778,2021.0,7.67,348.0,0.0,183.0,21.0,2.0,0.0,160.0,26.0,23.0,11.0,0.0,1.21,Unconfined,0.1,Loamy,Loamy,Dug Well,Shallow,35828.29,Mixed
11.64389,92.65611,2021.0,7.87,448.0,0.0,226.0,18.0,25.0,0.0,190.0,38.0,23.0,17.0,1.0,0.38,Unconfined,2.01,Loamy,Loamy,Dug Well,Shallow,35828.29,Mixed
11.68222,92.63639,2021.0,7.92,749.0,0.0,262.0,92.0,6.0,6.0,180.0,48.0,15.0,87.0,8.0,0.51,Unconfined,4.05,Loamy,Loamy,Bore Well,Shallow,35828.29,Mixed
11.72417,92.61361,2021.0,7.2,157.0,0.0,61.0,21.0,0.0,0.0,60.0,18.0,4.0,7.0,1.0,0.82,Unconfined,1.95,Loamy,Loamy,Dug Well,Shallow,35828.29,Mixed
11.71694,92.65278,2021.0,7.5,1016.0,0.0,397.0,96.0,18.0,5.0,230.0,62.0,18.0,127.0,7.0,0.31,Confined,25.82,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Artesian,35828.29,Mixed
11.72167,92.66722,2021.0,7.88,372.0,0.0,183.0,18.0,4.0,0.0,135.0,20.0,21.0,16.0,1.0,0.26,Unconfined,8.83,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,186765.62,Mixed
11.7325,92.70889,2021.0,7.66,461.0,0.0,220.0,21.0,40.0,0.0,175.0,42.0,17.0,29.0,2.0,0.64,Semi-Confined,9.53,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Shallow,186765.62,Mixed
11.79472,92.65556,2021.0,7.71,391.0,0.0,153.0,21.0,46.0,1.0,135.0,38.0,10.0,29.0,6.0,0.45,Unconfined,2.49,Loamy,Loamy,Dug Well,Shallow,186765.62,Mixed
11.01778,92.67306,2021.0,7.29,223.0,0.0,73.0,35.0,0.0,0.0,130.0,40.0,7.0,34.0,3.0,0.18,Unconfined,3.53,Clayey,Clayey,Dug Well,Shallow,61973.33,Mixed
11.57889,92.67639,2021.0,7.53,190.0,0.0,67.0,18.0,10.0,0.0,70.0,18.0,6.0,12.0,0.0,0.19,Semi-Confined,7.9,Clayey,Clayey,Bore Well,Shallow,61973.33,Mixed
11.5375,92.64722,2021.0,7.15,609.0,0.0,183.0,78.0,15.0,1.0,140.0,26.0,18.0,68.0,4.0,0.24,Unconfined,7.48,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Shallow,76305.69,Mixed
11.5975,92.63278,2021.0,7.55,169.0,0.0,67.0,25.0,0.0,0.0,60.0,16.0,5.0,13.0,0.0,0.53,Unconfined,2.85,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,76305.69,Mixed
11.645,92.73083,2021.0,7.81,326.0,0.0,140.0,43.0,2.0,2.0,110.0,36.0,5.0,29.0,4.0,0.35,Semi-Confined,22.58,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Artesian,76305.69,Mixed
11.72139,92.73306,2021.0,7.04,202.0,0.0,67.0,21.0,17.0,1.0,100.0,22.0,11.0,3.0,1.0,0.32,Confined,15.35,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Artesian,76305.69,Mixed
12.41167,92.76222,2021.0,7.91,499.0,0.0,256.0,43.0,1.0,1.0,225.0,22.0,41.0,19.0,4.0,0.21,Unconfined,11.02,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Artesian,186765.62,Mixed
13.165,92.88167,2021.0,7.38,157.0,0.0,61.0,18.0,5.0,1.0,65.0,12.0,9.0,6.0,1.0,0.32,Unconfined,13.28,Loamy,Loamy,Bore Well,Artesian,122407.34,Mixed
13.31417,92.94111,2021.0,7.91,931.0,0.0,281.0,113.0,61.0,3.0,345.0,30.0,66.0,55.0,7.0,0.83,Unconfined,6.45,Loamy,Loamy,Bore Well,Shallow,35828.29,Mixed
13.24306,93.04417,2021.0,7.72,748.0,0.0,348.0,67.0,0.0,1.0,260.0,74.0,18.0,63.0,2.0,0.52,Unconfined,3.02,Clayey,Clayey,Dug Well,Shallow,186765.62,Mixed
